To, Location
clock_50, PIN_AF14
reset, PIN_AE12
start, PIN_AD10
hsync, PIN_B11
vsync, PIN_D11
n_blank, PIN_F10
vgaclock, PIN_A11
red_out[0], PIN_A13
red_out[1], PIN_C13
red_out[2], PIN_E13
red_out[3], PIN_B12
red_out[4], PIN_C12
red_out[5], PIN_D12
red_out[6], PIN_E12
red_out[7], PIN_F13
green_out[0], PIN_J9
green_out[1], PIN_J10
green_out[2], PIN_H12
green_out[3], PIN_G10
green_out[4], PIN_G11
green_out[5], PIN_G12
green_out[6], PIN_F11
green_out[7], PIN_E11
blue_out[0], PIN_B13
blue_out[1], PIN_G13
blue_out[2], PIN_H13
blue_out[3], PIN_F14
blue_out[4], PIN_H14
blue_out[5], PIN_F15
blue_out[6], PIN_G15
blue_out[7], PIN_J14